host	sub	surf	E_tot	n_host	n_sub	surf_area(A^2)	
Au	Zn	111	-24.940601	7	2	7.294842225	1ML
Ni	Cd	100	-77.73446	14	2	7.311680991	1ML
Ir	Bi	111	-65.569456	7	2	7.320184313	1ML
Co	Te	111	-51.288265	7	2	7.329531732	1ML
Au	As	111	-31.017243	7	2	7.330663467	1ML
Au	Ga	111	-28.798282	7	2	7.331960445	1ML
Cu	In	100	-55.817209	14	2	7.342475363	1ML
Pd	Tl	111	-39.705539	7	2	7.350574037	1ML
Au	Hg	111	-22.896486	7	2	7.367812005	1ML
Ag	Ga	111	-25.463121	7	2	7.369523668	1ML
Pd	Sn	111	-43.85435	7	2	7.399396099	1ML
Au	Cd	111	-24.601211	7	2	7.403313201	1ML
Pt	Tl	111	-45.564496	7	2	7.407434768	1ML
Cu	Sn	100	-58.340494	14	2	7.414345813	1ML
Ag	Hg	111	-19.757408	7	2	7.416778783	1ML
Rh	Ga	100	-108.00662	14	2	7.417243531	1ML
Rh	Zn	100	-104.22558	14	2	7.419752484	1ML
Ag	Ge	111	-28.07308	7	2	7.434876296	1ML
Cu	Tl	100	-54.224736	14	2	7.435298323	1ML
Co	Bi	111	-52.050259	7	2	7.442889194	1ML
Rh	Bi	111	-55.379876	7	2	7.465822848	1ML
Rh	Ge	100	-110.98503	14	2	7.46892707	1ML
Pt	Sn	111	-49.704809	7	2	7.479365522	1ML
Rh	Hg	100	-101.00899	14	2	7.485522935	1ML
Ni	Te	111	-41.162653	7	2	7.486806109	1ML
Rh	As	100	-111.23628	14	2	7.492113881	1ML
Rh	Cd	100	-102.89874	14	2	7.494909854	1ML
Ir	Ga	100	-129.61629	14	2	7.508144253	1ML
Co	Sb	100	-104.7728	14	2	7.508193457	1ML
Ir	Zn	100	-125.94277	14	2	7.520917289	1ML
Au	Ge	111	-31.416518	7	2	7.542137267	1ML
Ni	Sb	100	-83.782225	14	2	7.554189727	1ML
Ir	Cd	100	-124.67952	14	2	7.57045215	1ML
Cu	Sb	100	-58.214186	14	2	7.573747078	1ML
Ir	Hg	100	-122.69146	14	2	7.578680813	1ML
Ir	Ge	100	-132.69038	14	2	7.581060058	1ML
Rh	In	100	-106.42128	14	2	7.59876245	1ML
Pd	Sb	111	-43.965377	7	2	7.603537164	1ML
Ag	Cd	111	-21.591125	7	2	7.60493869	1ML
Co	Te	100	-101.83802	14	2	7.606272901	1ML
Ir	As	100	-132.69631	14	2	7.61131868	1ML
Rh	Tl	100	-104.58319	14	2	7.631925592	1ML
Cu	Te	111	-29.215874	7	2	7.63995744	1ML
Ir	In	100	-128.17386	14	2	7.644609015	1ML
Rh	Sn	100	-108.90173	14	2	7.653417773	1ML
Pt	Sb	111	-49.665287	7	2	7.671363832	1ML
Cu	Pb	111	-29.984101	7	2	7.686525613	1ML
Ir	Tl	100	-126.39622	14	2	7.687671396	1ML
Ag	In	111	-24.633838	7	2	7.702523219	1ML
Ir	Sb	100	-130.11031	14	2	7.712297518	1ML
Cu	Te	100	-55.811932	14	2	7.729235649	1ML
Ir	Sn	100	-130.53223	14	2	7.729667496	1ML
Rh	Sb	100	-108.74737	14	2	7.740522155	1ML
Pd	Te	111	-41.437552	7	2	7.761595104	1ML
Ir	Te	100	-127.14387	14	2	7.761780504	1ML
Ni	Pb	100	-81.843498	14	2	7.771649429	1ML
Ag	Sn	111	-26.909161	7	2	7.79057754	1ML
Ni	Te	100	-81.13997	14	2	7.792205971	1ML
Rh	Te	100	-105.98487	14	2	7.794682178	1ML
Rh	Pb	100	-106.84082	14	2	7.800241272	1ML
Pd	As	100	-82.193526	14	2	7.809616248	1ML
Cu	Pb	100	-56.808402	14	2	7.82173325	1ML
Ir	Pb	100	-128.51762	14	2	7.825228816	1ML
Pt	Ga	100	-91.238861	14	2	7.845246966	1ML
Au	In	111	-27.964974	7	2	7.849941926	1ML
Au	Tl	111	-26.685397	7	2	7.857384872	1ML
Pt	Te	111	-46.86511	7	2	7.862114875	1ML
Pd	Ga	100	-79.233934	14	2	7.868878865	1ML
Pd	Hg	100	-72.636696	14	2	7.891292122	1ML
Pd	Pb	111	-42.342934	7	2	7.893523533	1ML
Au	Te	111	-27.618345	7	2	7.909241234	1ML
Ir	Bi	100	-128.43906	14	2	7.909854078	1ML
Pt	Zn	100	-87.599615	14	2	7.936189206	1ML
Ag	Sb	111	-26.888798	7	2	7.936302216	1ML
Pt	Hg	100	-84.429917	14	2	7.942232716	1ML
Rh	Bi	100	-107.05198	14	2	7.943717972	1ML
Ag	Tl	111	-23.483085	7	2	7.94587611	1ML
Pd	Zn	100	-75.590674	14	2	7.958599224	1ML
Ag	Te	111	-24.88404466	7	2	7.963426374	1ML
Pd	Bi	111	-42.837396	7	2	7.96957696	1ML
Pd	Ge	100	-82.07455	14	2	7.982267975	1ML
Pt	Cd	100	-86.459287	14	2	7.992150811	1ML
Au	Sb	111	-30.000864	7	2	7.992377968	1ML
Pt	In	100	-90.065159	14	2	8.008265368	1ML
Pt	Ge	100	-94.220444	14	2	8.028888447	1ML
Pd	Cd	100	-74.475296	14	2	8.052418018	1ML
Ag	As	100	-47.821257	14	2	8.080294249	1ML
Co	Bi	100	-103.69177	14	2	8.100074862	1ML
Pt	As	100	-94.115236	14	2	8.118746653	1ML
Pd	Tl	100	-76.439857	14	2	8.131216241	1ML
Cu	Bi	111	-30.511073	7	2	8.139468659	1ML
Pt	Tl	100	-88.438012	14	2	8.143743679	1ML
Au	As	100	-53.851082	14	2	8.149440366	1ML
Au	Sn	111	-30.381278	7	2	8.158584667	1ML
Pt	Bi	111	-48.44534	7	2	8.188938108	1ML
Pd	Sn	100	-80.714997	14	2	8.205377056	1ML
Pt	Sb	100	-92.508562	14	2	8.215082933	1ML
Co	Pb	100	-102.64237	14	2	8.220883344	1ML
Pt	Sn	100	-92.661135	14	2	8.252636722	1ML
Ag	Bi	111	-26.323676	7	2	8.255043445	1ML
Pd	Sb	100	-80.866591	14	2	8.267491334	1ML
Ni	Bi	100	-83.006237	14	2	8.271881177	1ML
Pd	In	100	-78.132341	14	2	8.278069089	1ML
Au	Pb	111	-29.283953	7	2	8.293953614	1ML
Ag	Hg	100	-39.517282	14	2	8.294334483	1ML
Ag	Pb	111	-25.979725	7	2	8.298717085	1ML
Ag	Zn	100	-41.179194	14	2	8.345963403	1ML
Ag	In	100	-44.31962	14	2	8.353928734	1ML
Pd	Pb	100	-79.158235	14	2	8.383242843	1ML
Pt	Pb	100	-91.025394	14	2	8.390153129	1ML
Ni	Sn	100	-84.440589	14	2	8.393919532	1ML
Ag	Ga	100	-44.971732	14	2	8.407176788	1ML
Ni	Bi	111	-42.090519	7	2	8.407972696	1ML
Au	Hg	100	-45.717904	14	2	8.423648267	1ML
Ag	Ge	100	-47.788635	14	2	8.434568645	1ML
Pd	Te	100	-78.295301	14	2	8.436428661	1ML
Pt	Te	100	-89.613153	14	2	8.445646945	1ML
Au	Ga	100	-51.514871	14	2	8.527781879	1ML
Co	Zn	110	-99.751425	14	2	8.53876467	1ML
Ag	Tl	100	-43.321264	14	2	8.558889525	1ML
Ag	Cd	100	-40.921459	14	2	8.561189945	1ML
Ni	Hg	100	-76.229602	14	2	8.563922352	1ML
Ag	Sb	100	-47.027984	14	2	8.573912382	1ML
Ni	In	110	-82.11824	14	2	8.575997137	1ML
Ag	Sn	100	-46.967638	14	2	8.589897266	1ML
Au	In	100	-50.936274	14	2	8.592297303	1ML
Au	Ge	100	-54.279825	14	2	8.600715254	1ML
Au	Te	100	-50.916633	14	2	8.605054335	1ML
Au	Zn	100	-47.633302	14	2	8.616737901	1ML
Au	Cd	100	-47.27476	14	2	8.618271992	1ML
Ni	Zn	110	-79.968428	14	2	8.683682026	1ML
Pd	Bi	100	-79.964742	14	2	8.688194582	1ML
Ag	Pb	100	-45.879718	14	2	8.703687422	1ML
Co	Cd	110	-99.15804	14	2	8.719743599	1ML
Co	Ga	110	-104.16696	14	2	8.723577467	1ML
