host	sub	surf	E_tot	n_host	n_sub	latt_a	latt_b	surf_area(A^2)	type
Ni	Pb	111	-.19294245E+03	34	2	4.937887020714	4.93788702071419	21.11606206017784	linear
Ni	Pb	111	-.19232778E+03	34	2	4.31360435865	5.010953621015	21.615271380603307	zigzag
Ni	Sb	100	-.17381961E+03	30	2	3.711748774	3.71184493	13.777435868205616	linear
Ni	Sb	100	-.17190803E+03	30	2	5.14891538778	2.95112988	15.195118050469343	truelinear
Ni	Sb	110	-.17421443E+03	30	2	4.951565330063	3.50784943	17.369345620669254	linearlong
Ni	Sb	110	-.17120631E+03	30	2	6.827942488358	2.583952877	17.643081636783197	linearshort
Ni	Sb	110	-.17428885E+03	30	2	4.280655702309	4.280789021631584	17.31636637007751	zigzag
Ni	Sb	111	-.19596400E+03	34	2	4.98017088933	4.98017088932955	21.4792504745338	linear
Ni	Sb	111	-.19561909E+03	34	2	4.283249243319	4.951414918001	21.208144200886192	zigzag
Ni	Te	100	-.16926207E+03	30	2	5.239848052108	2.745297397	14.384941218127612	truelinear
Ni	Te	110	-.17204518E+03	30	2	4.959162710332	3.518659171	17.44960335119091	linearlong
Ni	Te	110	-.16846012E+03	30	2	6.746436161154	2.617663058	17.659896712208162	linearshort
Ni	Te	110	-.17233426E+03	30	2	4.286082759121	4.2861270402527785	17.360345963550426	zigzag
Ni	Te	111	-.19380228E+03	34	2	4.921154967713	4.921154967712363	20.973200766179673	linear
Ni	Te	111	-.19382043E+03	34	2	4.252590997533	4.923678718007	20.93839179094139	zigzag
Ni	Hg	100	-.16498456E+03	30	2	3.524565281	3.525131099	12.424554682508775	linear
Ni	Hg	110	-.16379667E+03	30	2	4.982656174522	3.446493587	17.172692551716025	linearlong
Ni	Hg	110	-.16310799E+03	30	2	6.9309992444	2.549195786	17.668474066593664	linearshort
Ni	Hg	110	-.16382180E+03	30	2	4.272325006046	4.2724085572714925	17.275270934596403	zigzag
Ni	Hg	111	-.18532650E+03	34	2	4.963286493654	4.963286493653519	21.333854102693884	linear
Ni	Hg	111	-.18560636E+03	34	2	4.264245936461	4.950414374301	21.109784379411167	zigzag
Ni	Cd	100	-.16547332E+03	30	2	5.117051627515	2.580925074	13.206726850405971	truelinear
Ni	Cd	110	-.16511478E+03	30	2	5.025856925534	3.476832075	17.474060563057495	linearlong
Ni	Cd	110	-.16449306E+03	30	2	6.842660588668	2.532738918	17.330672775584233	linearshort
Ni	Cd	110	-.16549270E+03	30	2	4.274432832068	4.274448280117419	17.28892842674923	zigzag
Ni	Cd	111	-.18658979E+03	34	2	4.952576326077	4.9525763260766755	21.24188172636137	linear
Ni	Cd	111	-.18720566E+03	34	2	4.275752694838	4.948646490001	21.159188565422387	zigzag
Ni	Tl	100	-.16887281E+03	30	2	3.61347335	3.613670566	13.057902285920417	linear
Ni	Tl	100	-.16877131E+03	30	2	4.972666025989	3.451986526001	17.165576120016965	truelinear
Ni	Tl	110	-.16817783E+03	30	2	4.944523528699	3.477260531	17.19339651094588	linearlong
Ni	Tl	110	-.16695632E+03	30	2	6.791396286617	2.557871762001	17.371520786096074	linearshort
Ni	Tl	110	-.16837918E+03	30	2	4.279767764726	4.280005687576414	17.337634097807282	zigzag
Ni	Tl	111	-.18971433E+03	34	2	4.929909643215	4.929909643214691	21.047889285976428	linear
Ni	Tl	111	-.18919591E+03	34	2	4.27279991991	4.939277629055	21.104545057839456	zigzag
Ni	Ge	100	-.17563118E+03	30	2	3.549355472257	3.549739648256	12.599287845625073	linear
Ni	Ge	110	-.17420432E+03	30	2	4.947813916068	3.517310864	17.402999640036363	linearlong
Ni	Ge	110	-.17319352E+03	30	2	7.015768313236	2.499042576	17.532703718128467	linearshort
Ni	Ge	110	-.17445480E+03	30	2	4.295528103779	4.295583750904003	17.361480317846162	zigzag
Ni	Ge	111	-.19631165E+03	34	2	4.94771107788	4.947711077879336	21.200167572912218	linear
Ni	Ge	111	-.19654840E+03	34	2	4.281397817981	4.954442621002	21.211939826870033	zigzag
Ni	As	100	-.17821767E+03	30	2	3.566775606	3.566827102	12.722071898233274	linear
Ni	As	100	-.17501312E+03	30	2	4.948615341382	2.540720532	12.573048602819437	truelinear
Ni	As	110	-.17540317E+03	30	2	4.93520821896	3.507924321	17.312336940488876	linearlong
Ni	As	110	-.17409537E+03	30	2	6.954914183	2.503160786	17.409268452880827	linearshort
Ni	As	110	-.17556632E+03	30	2	4.290976293878	4.291071723333338	17.327978502243997	zigzag
Ni	As	111	-.19696624E+03	34	2	4.966269576712	4.966269576711668	21.359506373134096	linear
Ni	As	111	-.19697458E+03	34	2	4.257935531251	4.940198632	21.035047286630387	zigzag
Cu	In	100	-.11559126E+03	30	2	3.609434843093	3.609272537111	13.027434053667116	linear
Cu	In	100	-.11495926E+03	30	2	2.612496239004	5.149722631803841	13.453630902272996	truelinear
Cu	In	110	-.11471422E+03	30	2	5.115252939995	3.570889473305	18.2660028767206	linearlong
Cu	In	110	-.11413099E+03	30	2	7.106452151462	2.589302935535	18.400757417019573	linearshort
Cu	In	110	-.11476463E+03	30	2	4.387674007697	4.391640013514816	18.239751055313647	zigzag
Cu	In	111	-.12942046E+03	34	2	5.097689980694901	5.097689980694901	22.503821435790638	linear
Cu	In	111	-.12932380E+03	34	2	4.404679970575	5.102782866969077	22.476125077251655	zigzag
Cu	Sn	100	-.11827407E+03	30	2	3.612697461	3.612669036	13.051480253790517	linear
Cu	Sn	100	-.11727194E+03	30	2	5.11256222666	2.608857397	13.33794578264473	truelinear
Cu	Sn	110	-.11773888E+03	30	2	5.107273361895	3.585712219	18.313212499520112	linearlong
Cu	Sn	110	-.11653152E+03	30	2	7.078804485045	2.611212522	18.484262912139265	linearshort
Cu	Sn	110	-.11774677E+03	30	2	4.383127678848	4.380640476468842	18.203375963547497	zigzag
Cu	Sn	111	-.13237622E+03	34	2	5.08923307697	5.089233076969943	22.430311973422167	linear
Cu	Sn	111	-.13237753E+03	34	2	4.415670713237	5.087280976	22.463757615730938	zigzag
Cu	Ga	100	-.11647945E+03	30	2	3.600836458	3.600625193	12.965262466547685	linear
Cu	Ga	100	-.11626174E+03	30	2	5.106653933024	2.553545502	13.040073180944043	truelinear
Cu	Ga	110	-.11555928E+03	30	2	5.095295388897	3.612177996	18.405113886894004	linearlong
Cu	Ga	110	-.11532433E+03	30	2	7.190559189042	2.56189997	18.421493370689923	linearshort
Cu	Ga	110	-.11555959E+03	30	2	4.418764252648	4.420286637586655	18.418054665643282	zigzag
Cu	Ga	111	-.13049328E+03	34	2	5.093220182026	5.093220182025898	22.465471315192378	linear
Cu	Ga	111	-.13042099E+03	34	2	4.431049504749	5.113321672	22.657381462337927	zigzag
Cu	Zn	100	-.11261533E+03	30	2	3.600718054	3.600940818	12.96597261475813	linear
Cu	Zn	100	-.11246262E+03	30	2	5.100439771145	2.549089261006	13.001476247033619	truelinear
Cu	Zn	110	-.11153854E+03	30	2	5.106498301021	3.58542097	18.308946091750066	linearlong
Cu	Zn	110	-.11139176E+03	30	2	7.15628666238	2.556529243	18.29525612366534	linearshort
Cu	Zn	110	-.11155720E+03	30	2	4.403877726456	4.40388648678536	18.334583337769114	zigzag
Cu	Zn	111	-.12616713E+03	34	2	5.095510597305	5.095510597304795	22.485681251774157	linear
Cu	Zn	111	-.12611458E+03	34	2	4.391221542097	5.085565684	22.33184558533006	zigzag
Cu	Bi	100	-.11816108E+03	30	2	3.604831775	3.607348974	13.00388620498885	linear
Cu	Bi	100	-.11607360E+03	30	2	5.099316726812	2.667503345	13.60244442598546	truelinear
Cu	Bi	110	-.11772767E+03	30	2	5.106883183625	3.577201423	18.268349791558123	linearlong
Cu	Bi	110	-.11542060E+03	30	2	6.986009968753	2.654754516	18.546141513368045	linearshort
Cu	Bi	110	-.11788217E+03	30	2	4.407296613114	4.408914066807786	18.389028716380206	zigzag
Cu	Bi	111	-.13219122E+03	34	2	5.085627734585	5.085627734584977	22.39854282139741	linear
Cu	Bi	111	-.13215168E+03	34	2	4.401293985013	5.086759061003	22.388322058402878	zigzag
Cu	Pb	100	-.11745227E+03	30	2	3.613812308	3.618113533	13.075183217296763	linear
